,Sig.,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups
,,Group A,Group A,Group A,Group A,Group A,Group A,Group B,Group B,Group B,Group B,Group B,Group B,Group C,Group C,Group C,Group C,Group C,Group C
,,N,Mean,Standard Deviation,Standard Deviation Error,95% Upper Bound Mean,95% Lower Bound Mean,N,Mean,Standard Deviation,Standard Deviation Error,95% Upper Bound Mean,95% Lower Bound Mean,N,Mean,Standard Deviation,Standard Deviation Error,95% Upper Bound Mean,95% Lower Bound Mean
Feature,,,,,,,,,,,,,,,,,,,
Smoothed_100Px_Nucleus_EosinODMax,9.17533492085344e-144,367.0,0.36121726600000004,0.057064765178983186,0.0029787564953637348,0.3670476691324867,0.35538686286751336,400.0,0.47391772027,0.06539626275694427,0.0032698131378472136,0.48031853796482304,0.467516902575177,76.0,0.59356955825,0.10914265233362244,0.012519520840848786,0.617945848609522,0.5691932678904781
Smoothed_100Px_Nucleus_EosinODMin,2.6646314387859005e-113,367.0,-0.36696339704904635,0.07729234508248538,0.004034627571570969,-0.35906630802269673,-0.37486048607539596,400.0,-0.47174369202500005,0.07658264476500169,0.0038291322382500853,-0.464247980082713,-0.4792394039672871,76.0,-0.6027734687763158,0.08894802326479426,0.010203038016814294,-0.582907515405672,-0.6226394221469598
Smoothed_100Px_Nucleus_EosinODRange,6.683945296622295e-167,367.0,0.7281806536648501,0.10846656493813116,0.005661908602022001,0.7392628652187192,0.7170984421109812,400.0,0.9456613970850001,0.12037647283629556,0.006018823641814777,0.9574435360771723,0.9338792580928275,76.0,1.196342928,0.15718422779916802,0.018030267486711844,1.2314489868582508,1.1612368691417492
Smoothed_100Px_NearbyDetectionCounts,1.254836510846751e-70,367.0,10.381606088493188,1.9349471455043716,0.10100341883084515,10.579302896023377,10.183909280962999,400.0,10.4993995046525,1.7136518779920433,0.08568259389960213,10.667127334974937,10.331671674330066,76.0,6.190433042092105,1.3731321495152673,0.15750905989115344,6.497113036236496,5.883753047947715
Smoothed_50Px_Nucleus_Area,6.050557519410051e-29,367.0,600.6955299942779,67.22978960202013,3.509366451098808,607.5645107858857,593.8265492026703,400.0,563.44584733525,86.71227743115233,4.335613871557617,571.9330216222972,554.9586730482029,76.0,673.8488366618421,79.6039727262817,9.13120191100605,691.6278580751741,656.0698152485104
Smoothed_50Px_Nucleus_Perimeter,1.7611700577791707e-45,367.0,97.83455419940054,6.588737122904393,0.34392927824267877,98.50773656403527,97.16137183476582,400.0,94.89280997475,7.499346182555895,0.37496730912779463,95.6268266558456,94.15879329365444,76.0,108.30539489644735,6.7973654103690215,0.7797112870030906,109.82354155478986,106.78724823810485
Smoothed_50Px_Nucleus_Circularity,2.4894834564966326e-60,367.0,0.7819724304632152,0.028844777561361626,0.001505685132475985,0.7849195499496822,0.7790253109767482,400.0,0.7791083133275,0.03038593544834737,0.0015192967724173673,0.7820824103950099,0.7761342162599902,76.0,0.7128538819473684,0.04462523872460596,0.005118865945577239,0.7228206342046697,0.7028871296900672
Smoothed_50Px_Nucleus_MaxCaliper,4.465528266848642e-50,367.0,36.11381142512261,2.87916827431074,0.15029136055232442,36.40798089507218,35.81964195517306,400.0,34.803920476125,2.989720794376437,0.14948603971882196,35.0965466439895,34.51129430826049,76.0,40.78187332605263,3.3260477059937057,0.38152383767952214,41.52472410800993,40.03902254409534
Smoothed_50Px_Nucleus_MinCaliper,9.344706975462642e-07,367.0,22.87850231776567,1.0222185217984485,0.05335937249435467,22.982944105143332,22.774060530388006,400.0,22.4043494444,1.5208147184723144,0.07604073592361586,22.553202870424123,22.25549601837588,76.0,23.03392887342105,2.028880991407304,0.2327286107898697,23.487066039267845,22.580791707574264
Smoothed_50Px_Nucleus_Eccentricity,3.049669531615903e-30,367.0,0.7158102954196186,0.03745983997388742,0.0019553877298455896,0.7196376303370791,0.7119829605021581,400.0,0.711325094035,0.03759931785103777,0.0018799658925518878,0.7150052183856631,0.7076449696843369,76.0,0.7708259315,0.056488378005560086,0.006479661347651634,0.7834422375431488,0.7582096254568512
Smoothed_50Px_Nucleus_HematoxylinODMean,3.6734483781686534e-56,367.0,0.687455324253406,0.0719333637394782,0.0037548910225122336,0.694804877133568,0.6801057713732441,400.0,0.60943040113,0.04978223746164308,0.0024891118730821517,0.6143029582609277,0.6045578439990725,76.0,0.6866792384473684,0.09718442204974323,0.011147817752664123,0.7083847370737479,0.6649737398209887
Smoothed_50Px_Nucleus_HematoxylinODSum,6.943219192089575e-62,367.0,417.354630260218,72.93744400561883,3.807303585768246,424.80677171163944,409.9024888087966,400.0,345.45661932075,60.047921658092356,3.002396082904617,351.33395516966516,339.57928347183486,76.0,474.2482056039473,92.6999024244461,10.633408072216872,494.9521163985132,453.5442948093813
